# Rime user dictionary
#@/db_name	sbfz.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	0
#@/user_id	main
b_ 	不	c=8204600 d=0.082046 t=0
ba 	边	c=460516 d=0.00460517 t=0
bbae 	包	c=201914 d=0.00201915 t=0
bbai 	疤	c=7362 d=7.363e-05 t=0
bbee 	并	c=565356 d=0.00565357 t=0
bbee 	癍	c=7 d=8e-08 t=0
bbei 	毕	c=86116 d=0.00086117 t=0
bbei 	病	c=161249 d=0.0016125 t=0
bbei 	贲	c=1204 d=1.205e-05 t=0
bbeu 	毙	c=12431 d=0.00012432 t=0
bbia 	帛	c=3405 d=3.406e-05 t=0
bbia 	痹	c=2287 d=2.288e-05 t=0
bboa 	毖	c=95 d=9.6e-07 t=0
bboo 	鬓	c=6389 d=6.39e-05 t=0
bbue 	败	c=97984 d=0.00097985 t=0
bbui 	兵	c=173853 d=0.00173854 t=0
bbui 	瘪	c=2871 d=2.872e-05 t=0
bbui 	魄	c=7 d=8e-08 t=0
bbuo 	贬	c=6246 d=6.247e-05 t=0
bbuu 	瘢	c=200 d=2.01e-06 t=0
bcae 	薜	c=181 d=1.82e-06 t=0
bcai 	芭	c=4651 d=4.652e-05 t=0
bcau 	彼	c=53722 d=0.00053723 t=0
bcea 	荜	c=191 d=1.92e-06 t=0
bcee 	蚌	c=1622 d=1.623e-05 t=0
bcei 	苯	c=742 d=7.43e-06 t=0
bcei 	荸	c=59 d=6e-07 t=0
bcei 	菝	c=10 d=1.1e-07 t=0
bceu 	茇	c=16 d=1.7e-07 t=0
bcie 	辈	c=120974 d=0.00120975 t=0
bcoa 	蝙	c=3818 d=3.819e-05 t=0
bcoe 	苄	c=19 d=2e-07 t=0
bcoe 	蒡	c=107 d=1.08e-06 t=0
bcoo 	菠	c=701 d=7.02e-06 t=0
bcoo 	薄	c=46827 d=0.00046828 t=0
bcou 	蔽	c=10642 d=0.00010643 t=0
bcua 	苞	c=1861 d=1.862e-05 t=0
bcua 	龅	c=51 d=5.2e-07 t=0
bcui 	萆	c=113 d=1.14e-06 t=0
bcui 	葆	c=1511 d=1.512e-05 t=0
bcui 	蓓	c=7922 d=7.923e-05 t=0
bcui 	蓖	c=183 d=1.84e-06 t=0
bdau 	夯	c=44 d=4.5e-07 t=0
bdau 	波	c=130486 d=0.00130487 t=0
bdei 	奔	c=99385 d=0.00099386 t=0
bdei 	渤	c=1765 d=1.766e-05 t=0
bdeo 	灞	c=212 d=2.13e-06 t=0
bdeu 	疒	c=24 d=2.5e-07 t=0
bdia 	冰	c=108964 d=0.00108965 t=0
bdia 	瀑	c=19 d=2e-07 t=0
bdie 	濒	c=3301 d=3.302e-05 t=0
bdoa 	泌	c=2701 d=2.702e-05 t=0
bdoe 	汴	c=1206 d=1.207e-05 t=0
bdoo 	殡	c=2520 d=2.521e-05 t=0
bdoo 	滨	c=14953 d=0.00014954 t=0
bdue 	半	c=312882 d=0.00312883 t=0
bdue 	滗	c=11 d=1.2e-07 t=0
bdui 	泊	c=10001 d=0.00010002 t=0
bdui 	浜	c=260 d=2.61e-06 t=0
bdui 	濞	c=45 d=4.6e-07 t=0
be 	把	c=965875 d=0.00965876 t=0
bfae 	摒	c=2072 d=2.073e-05 t=0
bfai 	报	c=550502 d=0.00550503 t=0
bfai 	爸	c=74727 d=0.00074728 t=0
bfau 	拨	c=32208 d=0.00032209 t=0
bfei 	捕	c=57404 d=0.00057405 t=0
bfei 	搏	c=20811 d=0.00020812 t=0
bfeu 	拔	c=35512 d=0.00035513 t=0
bfeu 	飙	c=2727 d=2.728e-05 t=0
bfia 	捌	c=106 d=1.07e-06 t=0
bfia 	摆	c=85680 d=0.00085681 t=0
bfoo 	摈	c=965 d=9.66e-06 t=0
bfou 	拌	c=2384 d=2.385e-05 t=0
bfou 	飚	c=1000 d=1.001e-05 t=0
bfua 	抱	c=39982 d=0.00039983 t=0
bfua 	飑	c=7 d=8e-08 t=0
bfui 	捭	c=114 d=1.15e-06 t=0
bfuo 	扒	c=2187 d=2.188e-05 t=0
bfuo 	扮	c=35779 d=0.0003578 t=0
bfuo 	播	c=139989 d=0.0013999 t=0
bfuu 	扳	c=8101 d=8.102e-05 t=0
bfuu 	搬	c=30700 d=0.00030701 t=0
bgai 	靶	c=2542 d=2.543e-05 t=0
bgea 	庇	c=4986 d=4.987e-05 t=0
bgee 	宝	c=232351 d=0.00232352 t=0
bgei 	鞴	c=27 d=2.8e-07 t=0
bgeu 	弼	c=2967 d=2.968e-05 t=0
bgeu 	魃	c=177 d=1.78e-06 t=0
bgoo 	髌	c=25 d=2.6e-07 t=0
bgui 	宾	c=43034 d=0.00043035 t=0
bgui 	庳	c=37 d=3.8e-07 t=0
bgui 	鞭	c=35805 d=0.00035806 t=0
bgui 	髀	c=176 d=1.77e-06 t=0
bhau 	比	c=491669 d=0.0049167 t=0
bhea 	秕	c=51 d=5.2e-07 t=0
bhei 	炳	c=4508 d=4.509e-05 t=0
bhia 	丙	c=6852 d=6.853e-05 t=0
bhia 	扁	c=10401 d=0.00010402 t=0
bhia 	爆	c=35535 d=0.00035536 t=0
bhie 	髟	c=41 d=4.2e-07 t=0
bhoa 	煸	c=18 d=1.9e-07 t=0
bhoa 	秘	c=10943 d=0.00010944 t=0
bhoe 	焙	c=393 d=3.94e-06 t=0
bhua 	炮	c=9 d=1e-07 t=0
bhui 	煲	c=223 d=2.24e-06 t=0
bhui 	百	c=309520 d=0.00309521 t=0
bhui 	稗	c=255 d=2.56e-06 t=0
bi 	别	c=579677 d=0.00579678 t=0
bjae 	鐾	c=6 d=7e-08 t=0
bjai 	钯	c=364 d=3.65e-06 t=0
bjee 	帮	c=231521 d=0.00231522 t=0
bjee 	绑	c=17563 d=0.00017564 t=0
bjei 	钵	c=4186 d=4.187e-05 t=0
bjei 	镖	c=35537 d=0.00035538 t=0
bjeu 	布	c=240317 d=0.00240318 t=0
bjeu 	钚	c=177 d=1.78e-06 t=0
bjeu 	钸	c=3 d=4e-08 t=0
bjeu 	钹	c=2032 d=2.033e-05 t=0
bjeu 	锛	c=17 d=1.8e-07 t=0
bjia 	钡	c=182 d=1.83e-06 t=0
bjoa 	编	c=76624 d=0.00076625 t=0
bjoa 	铋	c=61 d=6.2e-07 t=0
bjoe 	镑	c=3476 d=3.477e-05 t=0
bjoe 	镳	c=916 d=9.17e-06 t=0
bjoo 	缤	c=3164 d=3.165e-05 t=0
bjoo 	镔	c=313 d=3.14e-06 t=0
bjou 	绊	c=5175 d=5.176e-05 t=0
bjua 	绷	c=9586 d=9.587e-05 t=0
bjui 	币	c=31002 d=0.00031003 t=0
bjui 	缏	c=9 d=1e-07 t=0
bjui 	铂	c=95 d=9.6e-07 t=0
bjuu 	钣	c=50 d=5.1e-07 t=0
bkai 	吧	c=385289 d=0.0038529 t=0
bkea 	吡	c=51 d=5.2e-07 t=0
bkea 	哔	c=551 d=5.52e-06 t=0
bkei 	哺	c=3610 d=3.611e-05 t=0
bkia 	呗	c=802 d=8.03e-06 t=0
bkia 	嘣	c=244 d=2.45e-06 t=0
bkio 	卟	c=428 d=4.29e-06 t=0
bkoa 	匾	c=3113 d=3.114e-05 t=0
bkoo 	啵	c=273 d=2.74e-06 t=0
bkuo 	叭	c=7413 d=7.414e-05 t=0
blae 	剥	c=14309 d=0.0001431 t=0
blae 	避	c=96025 d=0.00096026 t=0
blai 	耙	c=941 d=9.42e-06 t=0
blei 	勃	c=31683 d=0.00031684 t=0
blei 	悖	c=1688 d=1.689e-05 t=0
blei 	逋	c=181 d=1.82e-06 t=0
blei 	逼	c=66115 d=0.00066116 t=0
bleu 	怖	c=20372 d=0.00020373 t=0
bloa 	遍	c=69513 d=0.00069514 t=0
bloe 	忭	c=78 d=7.9e-07 t=0
bloo 	办	c=314246 d=0.00314247 t=0
blou 	迸	c=8222 d=8.223e-05 t=0
blua 	刨	c=537 d=5.38e-06 t=0
blue 	愎	c=553 d=5.54e-06 t=0
bmae 	檗	c=69 d=7e-07 t=0
bmai 	粑	c=396 d=3.97e-06 t=0
bmee 	本	c=904906 d=0.00904907 t=0
bmee 	标	c=185952 d=0.00185953 t=0
bmee 	梆	c=1238 d=1.239e-05 t=0
bmee 	棒	c=20586 d=0.00020587 t=0
bmei 	彬	c=10034 d=0.00010035 t=0
bmei 	柄	c=34141 d=0.00034142 t=0
bmei 	闭	c=75251 d=0.00075252 t=0
bmei 	骠	c=1001 d=1.002e-05 t=0
bmeu 	杯	c=85729 d=0.0008573 t=0
bmoe 	榜	c=11535 d=0.00011536 t=0
bmoo 	槟	c=2558 d=2.559e-05 t=0
bmui 	柏	c=39039 d=0.0003904 t=0
bmuo 	驳	c=12802 d=0.00012803 t=0
bmuu 	板	c=98511 d=0.00098512 t=0
bnae 	嬖	c=153 d=1.54e-06 t=0
bnau 	被	c=658619 d=0.0065862 t=0
bnea 	妣	c=206 d=2.07e-06 t=0
bnee 	婊	c=2045 d=2.046e-05 t=0
bnee 	裱	c=720 d=7.21e-06 t=0
bnei 	鹁	c=47 d=4.8e-07 t=0
bnie 	褙	c=167 d=1.68e-06 t=0
bnio 	补	c=65367 d=0.00065368 t=0
bniu 	步	c=468697 d=0.00468698 t=0
bnoa 	褊	c=161 d=1.62e-06 t=0
bnou 	弊	c=6315 d=6.316e-05 t=0
bnua 	鸨	c=2071 d=2.072e-05 t=0
bnui 	婢	c=21466 d=0.00021467 t=0
bnui 	裨	c=603 d=6.04e-06 t=0
bnui 	褓	c=682 d=6.83e-06 t=0
bnui 	鹎	c=11 d=1.2e-07 t=0
bo 	部	c=695484 d=0.00695485 t=0
bpaa 	匕	c=9837 d=9.838e-05 t=0
bpai 	笆	c=1615 d=1.616e-05 t=0
bpau 	笾	c=127 d=1.28e-06 t=0
bpea 	筚	c=80 d=8.1e-07 t=0
bpei 	笨	c=24762 d=0.00024763 t=0
bpei 	簸	c=2072 d=2.073e-05 t=0
bpia 	箅	c=27 d=2.8e-07 t=0
bpia 	鼻	c=56650 d=0.00056651 t=0
bpie 	彪	c=7467 d=7.468e-05 t=0
bpoo 	八	c=261245 d=0.00261246 t=0
bpoo 	箔	c=791 d=7.92e-06 t=0
bpoo 	簿	c=5992 d=5.993e-05 t=0
bpue 	笔	c=91374 d=0.00091375 t=0
bpui 	篦	c=172 d=1.73e-06 t=0
bpuu 	版	c=82118 d=0.00082119 t=0
bqea 	狴	c=113 d=1.14e-06 t=0
bqei 	晡	c=76 d=7.7e-07 t=0
bqei 	暴	c=64278 d=0.00064279 t=0
bqia 	狈	c=8893 d=8.894e-05 t=0
brei 	便	c=638001 d=0.00638002 t=0
breu 	佰	c=476 d=4.77e-06 t=0
bria 	保	c=379647 d=0.00379648 t=0
broe 	倍	c=37993 d=0.00037994 t=0
broe 	傍	c=10221 d=0.00010222 t=0
broo 	傧	c=350 d=3.51e-06 t=0
brou 	伴	c=58283 d=0.00058284 t=0
brui 	伯	c=126672 d=0.00126673 t=0
brui 	俾	c=1159 d=1.16e-05 t=0
bsae 	擘	c=385 d=3.86e-06 t=0
bsai 	岜	c=60 d=6.1e-07 t=0
bsau 	贝	c=81993 d=0.00081994 t=0
bsee 	北	c=350915 d=0.00350916 t=0
bsee 	拜	c=85576 d=0.00085577 t=0
bsee 	碧	c=36651 d=0.00036652 t=0
bsei 	博	c=63064 d=0.00063065 t=0
bsei 	礴	c=893 d=8.94e-06 t=0
bsei 	饽	c=368 d=3.69e-06 t=0
bseu 	弁	c=745 d=7.46e-06 t=0
bseu 	畚	c=128 d=1.29e-06 t=0
bseu 	豳	c=57 d=5.8e-07 t=0
bsia 	泵	c=1610 d=1.611e-05 t=0
bsoa 	孛	c=231 d=2.32e-06 t=0
bsoa 	碥	c=5 d=6e-08 t=0
bsoe 	碚	c=124 d=1.25e-06 t=0
bsoe 	磅	c=1028 d=1.029e-05 t=0
bsoo 	卜	c=24969 d=0.0002497 t=0
bsou 	屏	c=4939 d=4.94e-05 t=0
bsou 	饼	c=11503 d=0.00011504 t=0
bsua 	崩	c=13586 d=0.00013587 t=0
bsua 	饱	c=24883 d=0.00024884 t=0
bsui 	卑	c=21565 d=0.00021566 t=0
bsui 	碑	c=14749 d=0.0001475 t=0
bsuo 	掰	c=1247 d=1.248e-05 t=0
bsuo 	砭	c=455 d=4.56e-06 t=0
btae 	壁	c=66644 d=0.00066645 t=0
btei 	埔	c=41 d=4.2e-07 t=0
bteu 	畀	c=87 d=8.8e-07 t=0
btia 	坝	c=5899 d=5.9e-05 t=0
btui 	埠	c=2063 d=2.064e-05 t=0
btui 	堡	c=50001 d=0.00050002 t=0
btuo 	坌	c=40 d=4.1e-07 t=0
btuu 	坂	c=2110 d=2.111e-05 t=0
bu 	白	c=657808 d=0.00657809 t=0
bvae 	臂	c=82992 d=0.00082993 t=0
bvau 	陂	c=301 d=3.02e-06 t=0
bvea 	陛	c=7761 d=7.762e-05 t=0
bvee 	表	c=552695 d=0.00552696 t=0
bvee 	邦	c=39599 d=0.000396 t=0
bvei 	脖	c=19966 d=0.00019967 t=0
bvei 	膊	c=10020 d=0.00010021 t=0
bvei 	膘	c=1298 d=1.299e-05 t=0
bvei 	邴	c=124 d=1.25e-06 t=0
bvei 	霸	c=40675 d=0.00040676 t=0
bvei 	鳔	c=30 d=3.1e-07 t=0
bveu 	鲅	c=42 d=4.3e-07 t=0
bvia 	鄙	c=14512 d=0.00014513 t=0
bvie 	背	c=169711 d=0.00169712 t=0
bvie 	邶	c=26 d=2.7e-07 t=0
bvoa 	鳊	c=18 d=1.9e-07 t=0
bvoe 	膀	c=25301 d=0.00025302 t=0
bvoo 	膑	c=549 d=5.5e-06 t=0
bvou 	鳖	c=1960 d=1.961e-05 t=0
bvua 	胞	c=22696 d=0.00022697 t=0
bvua 	雹	c=1118 d=1.119e-05 t=0
bvua 	鲍	c=15256 d=0.00015257 t=0
bvuu 	阪	c=1272 d=1.273e-05 t=0
bwae 	璧	c=7375 d=7.376e-05 t=0
bwau 	玻	c=18058 d=0.00018059 t=0
bwee 	斌	c=13201 d=0.00013202 t=0
bwei 	甏	c=22 d=2.3e-07 t=0
bwia 	亳	c=383 d=3.84e-06 t=0
bwia 	备	c=213273 d=0.00213274 t=0
bwia 	惫	c=4911 d=4.912e-05 t=0
bwia 	禀	c=15370 d=0.00015371 t=0
bwii 	变	c=408846 d=0.00408847 t=0
bwio 	卞	c=2608 d=2.609e-05 t=0
bwoe 	斑	c=15408 d=0.00015409 t=0
bwoe 	瓿	c=34 d=3.5e-07 t=0
bwou 	敝	c=13460 d=0.00013461 t=0
bwou 	班	c=102969 d=0.0010297 t=0
bwui 	褒	c=1951 d=1.952e-05 t=0
bxaa 	辫	c=5407 d=5.408e-05 t=0
bxae 	辟	c=10001 d=0.00010002 t=0
bxie 	悲	c=74858 d=0.00074859 t=0
bxoa 	辩	c=25872 d=0.00025873 t=0
