# Rime user dictionary
#@/db_name	sbpy.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10
#@/user_id	main
baaiea 	巴	c=818564544 d=8.18565 t=10
baeeei 	耙	c=818358106 d=8.18358 t=10
baeiea 	把	c=819323040 d=8.19323 t=10
baeiee 	拔	c=818414569 d=8.18415 t=10
baeiei 	坝	c=818363064 d=8.18363 t=10
baeiei 	捌	c=818357271 d=8.18357 t=10
baeieu 	扒	c=818359352 d=8.18359 t=10
baeiia 	芭	c=818361816 d=8.18362 t=10
baeiie 	茇	c=818357181 d=8.18357 t=10
baeiie 	菝	c=818357175 d=8.18357 t=10
baeiie 	靶	c=818359707 d=8.1836 t=10
baeoai 	霸	c=818397840 d=8.18398 t=10
baiaea 	吧	c=818742454 d=8.18742 t=10
baiaei 	跋	c=818367559 d=8.18368 t=10
baiaeu 	叭	c=818364578 d=8.18365 t=10
baiaia 	岜	c=818357225 d=8.18357 t=10
baiaii 	罢	c=818448102 d=8.18448 t=10
baieie 	捭	c=818357279 d=8.18357 t=10
baieie 	摆	c=818442845 d=8.18443 t=10
baieiu 	柏	c=818396204 d=8.18396 t=10
baieui 	百	c=818666166 d=8.18666 t=10
baiiau 	败	c=818455149 d=8.18455 t=10
baiuee 	拜	c=818442741 d=8.18443 t=10
baiuee 	掰	c=818358412 d=8.18358 t=10
baiuei 	稗	c=818357420 d=8.18357 t=10
baiuia 	白	c=819014973 d=8.19015 t=10
baiuie 	佰	c=818357641 d=8.18358 t=10
baiuiu 	伯	c=818457166 d=8.18457 t=10
banaae 	绊	c=818362340 d=8.18362 t=10
banaae 	绑	c=818374728 d=8.18375 t=10
banaiu 	阪	c=818358437 d=8.18358 t=10
banauo 	办	c=818671411 d=8.18671 t=10
baneee 	帮	c=818588686 d=8.18589 t=10
baneee 	邦	c=818396764 d=8.18397 t=10
baneei 	斑	c=818372573 d=8.18373 t=10
baneei 	班	c=818460134 d=8.1846 t=10
baneie 	坂	c=818359275 d=8.18359 t=10
baneie 	扮	c=818392944 d=8.18393 t=10
baneie 	扳	c=818365266 d=8.18365 t=10
baneie 	拌	c=818359549 d=8.1836 t=10
baneie 	搬	c=818387865 d=8.18388 t=10
baneii 	蒡	c=818357272 d=8.18357 t=10
baneiu 	板	c=818455676 d=8.18456 t=10
baneiu 	梆	c=818358403 d=8.18358 t=10
baneiu 	棒	c=818377751 d=8.18378 t=10
